iter	Passed	Remaining
408	5084	7347
409	5096	7334
410	5109	7321
411	5121	7309
412	5133	7296
413	5146	7284
414	5158	7271
415	5170	7258
416	5182	7245
417	5194	7233
418	5207	7220
419	5219	7208
420	5231	7195
421	5243	7182
422	5256	7170
423	5268	7157
424	5280	7144
425	5292	7131
426	5305	7118
427	5317	7106
428	5329	7093
429	5341	7080
430	5353	7067
431	5365	7055
432	5378	7042
433	5390	7030
434	5402	7017
435	5414	7004
436	5427	6991
437	5439	6979
438	5452	6968
439	5464	6955
440	5477	6942
441	5489	6929
442	5501	6917
443	5513	6904
444	5525	6891
445	5537	6878
446	5550	6866
447	5562	6853
448	5574	6841
449	5586	6828
450	5598	6815
451	5611	6802
452	5623	6790
453	5635	6777
454	5647	6764
455	5659	6751
456	5672	6739
457	5684	6726
458	5696	6714
459	5708	6701
460	5720	6688
461	5732	6676
462	5745	6663
463	5757	6650
464	5769	6637
465	5781	6625
466	5793	6612
467	5806	6600
468	5818	6587
469	5830	6574
470	5842	6562
471	5855	6549
472	5867	6537
473	5880	6525
474	5892	6512
475	5904	6500
476	5917	6487
477	5929	6475
478	5941	6462
479	5953	6449
480	5965	6437
481	5978	6424
482	5990	6411
483	6002	6399
484	6014	6386
485	6027	6374
486	6039	6362
487	6052	6349
488	6064	6337
489	6076	6324
490	6088	6311
491	6100	6299
492	6113	6286
493	6125	6274
494	6137	6261
495	6149	6248
496	6162	6236
497	6174	6223
498	6186	6211
499	6198	6198
500	6210	6185
501	6222	6173
502	6235	6160
503	6247	6148
504	6259	6135
505	6272	6123
506	6284	6110
507	6296	6098
508	6308	6085
509	6320	6072
510	6332	6060
511	6345	6047
512	6357	6035
513	6370	6023
514	6382	6010
515	6394	5997
516	6406	5985
517	6418	5972
518	6430	5959
519	6442	5947
520	6455	5934
521	6467	5922
522	6479	5909
523	6491	5897
524	6503	5884
525	6516	5871
526	6528	5859
527	6540	5846
528	6552	5834
529	6564	5821
530	6576	5809
531	6589	5796
532	6601	5784
533	6613	5771
534	6625	5758
535	6638	5746
536	6650	5733
537	6662	5721
538	6674	5708
539	6687	5696
540	6699	5683
541	6711	5671
542	6723	5658
543	6735	5646
544	6747	5633
545	6760	5620
546	6772	5608
547	6784	5595
548	6796	5583
549	6808	5570
550	6821	5558
551	6833	5545
552	6845	5533
553	6857	5520
554	6869	5508
555	6882	5495
556	6894	5483
557	6906	5471
558	6919	5458
559	6931	5446
560	6943	5433
561	6957	5422
562	6969	5409
563	6981	5397
564	6993	5384
565	7005	5372
566	7018	5359
567	7030	5346
568	7042	5334
569	7054	5321
570	7066	5309
571	7078	5296
572	7091	5284
573	7103	5271
574	7115	5259
575	7128	5247
576	7140	5234
577	7152	5222
578	7164	5209
579	7176	5197
580	7189	5184
581	7201	5172
582	7213	5159
583	7225	5147
584	7238	5134
585	7250	5122
586	7262	5109
587	7274	5097
588	7286	5084
589	7298	5072
590	7311	5059
591	7323	5047
592	7335	5034
593	7347	5022
594	7359	5009
595	7372	4997
596	7384	4984
597	7396	4972
598	7408	4959
599	7421	4947
600	7433	4934
601	7445	4922
602	7457	4909
603	7469	4897
604	7481	4884
605	7494	4872
606	7506	4860
607	7519	4847
608	7531	4835
609	7543	4823
610	7555	4810
611	7568	4798
612	7580	4785
613	7592	4773
614	7604	4760
615	7616	4748
616	7628	4735
617	7641	4723
618	7653	4710
619	7665	4698
620	7679	4686
621	7691	4674
622	7703	4661
623	7715	4649
624	7728	4636
625	7740	4624
626	7752	4612
627	7764	4599
628	7777	4587
629	7789	4574
630	7801	4562
631	7815	4550
632	7827	4538
633	7839	4525
634	7851	4513
635	7863	4500
636	7876	4488
637	7888	4475
638	7900	4463
639	7912	4450
640	7924	4438
641	7936	4425
642	7948	4413
643	7961	4400
644	7973	4388
645	7985	4375
646	7997	4363
647	8009	4350
648	8021	4338
649	8033	4325
650	8046	4313
651	8058	4301
652	8070	4288
653	8082	4276
654	8094	4263
655	8107	4251
656	8119	4238
657	8131	4226
658	8144	4214
659	8156	4201
660	8168	4189
661	8180	4176
662	8192	4164
663	8204	4151
664	8217	4139
665	8229	4127
666	8242	4114
667	8254	4102
668	8266	4089
669	8278	4077
670	8290	4065
671	8302	4052
672	8316	4040
673	8328	4028
674	8340	4015
675	8352	4003
676	8364	3990
677	8377	3978
678	8389	3966
679	8401	3953
680	8413	3941
681	8425	3928
682	8438	3916
683	8450	3903
684	8463	3891
685	8475	3879
686	8487	3867
687	8499	3854
688	8512	3842
689	8524	3829
690	8536	3817
691	8548	3804
692	8561	3792
693	8574	3780
694	8586	3768
695	8598	3755
696	8611	3743
697	8623	3731
698	8636	3718
699	8648	3706
700	8660	3693
701	8672	3681
702	8684	3669
703	8697	3656
704	8709	3644
705	8721	3631
706	8733	3619
707	8746	3607
708	8758	3594
709	8770	3582
710	8783	3570
711	8795	3557
712	8807	3545
713	8820	3533
714	8832	3520
715	8845	3508
716	8857	3495
717	8869	3483
718	8881	3471
719	8893	3458
720	8906	3446
721	8918	3434
722	8930	3421
723	8943	3409
724	8955	3396
725	8967	3384
726	8980	3372
727	8992	3359
728	9004	3347
729	9017	3335
730	9029	3322
731	9041	3310
732	9054	3297
733	9066	3285
734	9078	3273
735	9090	3260
736	9102	3248
737	9114	3235
738	9127	3223
739	9139	3211
740	9151	3198
741	9163	3186
742	9175	3173
743	9188	3161
744	9200	3149
745	9212	3136
746	9225	3124
747	9237	3112
748	9249	3099
749	9261	3087
750	9273	3074
751	9286	3062
752	9298	3050
753	9310	3037
754	9322	3025
755	9334	3012
756	9347	3000
757	9359	2988
758	9372	2975
759	9384	2963
760	9396	2951
761	9408	2938
762	9421	2926
763	9433	2914
764	9445	2901
765	9457	2889
766	9469	2876
767	9482	2864
768	9494	2851
769	9506	2839
770	9518	2827
771	9531	2815
772	9544	2802
773	9556	2790
774	9568	2777
775	9580	2765
776	9592	2753
777	9605	2740
778	9617	2728
779	9629	2715
780	9641	2703
781	9654	2691
782	9666	2678
783	9678	2666
784	9690	2654
785	9702	2641
786	9715	2629
787	9727	2617
788	9739	2604
789	9752	2592
790	9764	2579
791	9776	2567
792	9788	2555
793	9800	2542
794	9812	2530
795	9825	2517
796	9837	2505
797	9849	2493
798	9861	2480
799	9873	2468
800	9886	2456
801	9898	2443
802	9911	2431
803	9923	2419
804	9935	2406
805	9947	2394
806	9960	2382
807	9973	2369
808	9985	2357
809	9997	2345
810	10010	2332
811	10022	2320
812	10034	2308
813	10046	2295
814	10060	2283
815	10072	2271
816	10085	2259
817	10097	2246
818	10110	2234
819	10122	2221
820	10134	2209
821	10147	2197
822	10159	2185
823	10172	2172
824	10184	2160
825	10196	2147
826	10208	2135
827	10220	2123
828	10232	2110
829	10245	2098
830	10257	2086
831	10269	2073
832	10281	2061
833	10294	2048
834	10306	2036
835	10318	2024
836	10330	2011
837	10342	1999
838	10355	1987
839	10367	1974
840	10379	1962
841	10391	1950
842	10404	1937
843	10416	1925
844	10428	1912
845	10440	1900
846	10452	1888
847	10464	1875
848	10476	1863
849	10489	1851
850	10501	1838
851	10513	1826
852	10525	1813
853	10537	1801
854	10549	1789
855	10561	1776
856	10574	1764
857	10586	1752
858	10598	1739
859	10610	1727
860	10622	1714
861	10635	1702
862	10647	1690
863	10659	1677
864	10671	1665
865	10683	1653
866	10695	1640
867	10708	1628
868	10721	1616
869	10733	1603
870	10746	1591
871	10758	1579
872	10770	1566
873	10783	1554
874	10795	1542
875	10807	1529
876	10819	1517
877	10831	1505
878	10844	1492
879	10855	1480
880	10868	1468
881	10880	1455
882	10892	1443
883	10905	1430
884	10917	1418
885	10929	1406
886	10941	1393
887	10954	1381
888	10966	1369
889	10978	1356
890	10990	1344
891	11002	1332
892	11014	1319
893	11027	1307
894	11039	1295
895	11051	1282
896	11063	1270
897	11076	1258
898	11088	1245
899	11100	1233
900	11112	1221
901	11124	1208
902	11137	1196
903	11149	1184
904	11161	1171
905	11173	1159
906	11187	1147
907	11199	1134
908	11211	1122
909	11223	1110
910	11235	1097
911	11247	1085
912	11260	1072
913	11272	1060
914	11284	1048
