iter	Logloss
0	0.6836362751
1	0.6747625613
2	0.6665461123
3	0.6585146437
4	0.6516240936
5	0.6442137874
6	0.6376264585
7	0.6320788814
8	0.6268476898
9	0.6215043211
10	0.6171172497
11	0.6125069413
12	0.6079760583
13	0.6044165119
14	0.6003587511
15	0.5966275483
16	0.5933188445
17	0.5899071787
18	0.586701357
19	0.5839317172
20	0.5813508476
21	0.5787245807
22	0.5759838229
23	0.5739994224
24	0.5715153314
25	0.569420549
26	0.5671481263
27	0.5648163839
28	0.5631558287
29	0.5612568375
30	0.5596940583
31	0.5582101859
32	0.5565079035
33	0.554673059
34	0.5530444974
35	0.5515328999
36	0.5501574149
37	0.5488542544
38	0.5477038415
39	0.5462474948
40	0.5450040531
41	0.5439120424
42	0.5428067076
43	0.5417167713
44	0.5405126634
45	0.5395245321
46	0.5384461646
47	0.5374584323
48	0.5364230686
49	0.5357033324
50	0.5349272285
51	0.5340209562
52	0.5331522624
53	0.5324391483
54	0.5314763088
55	0.5306563234
56	0.5300016914
57	0.5293578304
58	0.5284344044
59	0.527741037
60	0.5270051046
61	0.5263845007
62	0.5254945044
63	0.5248998305
64	0.5242159176
65	0.523491554
66	0.522721035
67	0.5221141142
68	0.5215700636
69	0.5210063461
70	0.5203837077
71	0.519786002
72	0.5192937714
73	0.5188235214
74	0.5182472379
75	0.5177564434
76	0.5171758914
77	0.5166457232
78	0.516139291
79	0.5155940835
80	0.5151809593
81	0.5148381252
82	0.5142212712
83	0.5136844411
84	0.5130856583
85	0.5124545228
86	0.5118241453
87	0.5114088669
88	0.5109138838
89	0.5105025946
90	0.5100716784
91	0.5096179439
92	0.5091729856
93	0.5088074528
94	0.5084110833
95	0.5078841066
96	0.5073799083
97	0.506871681
98	0.5062872195
99	0.506002309
100	0.5055503696
101	0.5052853254
102	0.5049109764
103	0.5046320099
104	0.5043103586
105	0.503856265
106	0.5033658695
107	0.5029195948
108	0.5025524264
109	0.5021529054
110	0.5018759335
111	0.5015226077
112	0.5010877821
113	0.5007990818
114	0.5004550111
115	0.5001369501
116	0.4998201657
117	0.4994448593
118	0.4991593105
119	0.4988705704
120	0.4986238367
121	0.4982732636
122	0.4979522905
123	0.4977251838
124	0.4972874062
125	0.4969822703
126	0.4966505662
127	0.4964185528
128	0.4961402644
129	0.4958421096
130	0.4956260532
131	0.4953055986
132	0.4950549157
133	0.4946981991
134	0.4944093791
135	0.4940267326
136	0.49368705
137	0.4933565028
138	0.4929951587
139	0.4926836001
140	0.4925035265
141	0.4922887864
142	0.4919658586
143	0.4916259766
144	0.4914682825
145	0.4912050334
146	0.4907273635
147	0.4903476291
148	0.4901047651
149	0.4897977143
150	0.4895505818
151	0.4891264074
152	0.4888381858
153	0.4885269464
154	0.4882299486
155	0.4879323922
156	0.4876194374
157	0.4873212428
158	0.4870445102
159	0.4868772021
160	0.4865457772
161	0.4862179027
162	0.4858329025
163	0.4854936986
164	0.4853038115
165	0.4850243263
166	0.4847979377
167	0.4845929314
168	0.4843501072
169	0.4840493196
170	0.48391217
171	0.4835732853
172	0.4833810844
173	0.4831550947
174	0.4829559526
175	0.4825624553
176	0.4822542477
177	0.4820493611
178	0.4816877777
179	0.4815321978
180	0.4814009523
181	0.4811336343
182	0.4809466194
183	0.4806408452
184	0.4804340437
185	0.4802367366
186	0.479904833
187	0.4796765695
188	0.4794248095
189	0.4791925966
190	0.4789114759
191	0.4786238926
192	0.4783016429
193	0.4780528748
194	0.4777866339
195	0.4775354323
196	0.4773114373
197	0.4771292094
198	0.4769074085
199	0.4766686932
200	0.4764447779
201	0.4761226878
202	0.4757294698
203	0.4753675673
204	0.4751180811
205	0.4749129152
206	0.4747663111
207	0.4745551614
208	0.4744111903
209	0.4741138733
210	0.4739300098
211	0.4737281949
212	0.4735110613
213	0.473311999
214	0.473085012
215	0.4729511735
216	0.4727611666
217	0.4724717084
218	0.4722721274
219	0.4719670713
220	0.4717400445
221	0.4715119007
222	0.4713335823
223	0.4710156011
224	0.4707668329
225	0.4705844455
226	0.4704448226
227	0.4701272403
228	0.4699019289
229	0.4697184245
230	0.4694379819
231	0.4692858328
232	0.469136915
233	0.4688989178
234	0.4687417822
235	0.468520819
236	0.4681781844
237	0.4680659275
238	0.4679414238
239	0.4678507886
240	0.4675339244
241	0.4673566033
242	0.4670291277
243	0.4668808881
244	0.4666340348
245	0.4665154351
246	0.4663464116
247	0.4661541309
248	0.4659090728
249	0.4656450259
250	0.4654538622
251	0.465333986
252	0.4651531943
253	0.4649516187
254	0.464644568
255	0.4643493652
256	0.4641276042
257	0.463939193
258	0.4637743582
259	0.4635912527
260	0.4634801528
261	0.4632804522
262	0.463216465
263	0.4630595687
264	0.4628447888
265	0.4625943053
266	0.4624475018
267	0.4622414184
268	0.461995323
269	0.4616537256
270	0.4614915636
271	0.4613030727
272	0.4610785989
273	0.4608838449
274	0.4606720968
275	0.460428395
276	0.460105906
277	0.4598778818
278	0.4596967311
279	0.4594693053
280	0.4593271293
281	0.4591786902
282	0.4589656256
283	0.4588450712
284	0.4586364347
285	0.4584846846
286	0.4583780127
287	0.4582032048
288	0.4578724182
289	0.457643676
290	0.4574091893
291	0.4571348502
292	0.4568854039
293	0.4566917669
294	0.4565503887
295	0.4563661663
296	0.4561825422
297	0.4559136285
298	0.4557043138
299	0.4554985096
300	0.4554444556
301	0.4551798104
302	0.4550229939
303	0.4548695683
304	0.4546744552
305	0.4544600343
306	0.4542922076
307	0.4540160335
308	0.4538697087
309	0.4537119348
310	0.4536033481
311	0.4534274631
312	0.4532530143
313	0.4530890571
314	0.4528523763
315	0.4526302163
316	0.4523423937
317	0.4521029603
318	0.4519565158
319	0.4517031601
320	0.4515051748
321	0.4513545815
322	0.4511664497
323	0.4509824267
324	0.4508887596
325	0.4507641761
326	0.450607599
327	0.4503701204
328	0.4502010171
329	0.4500764735
330	0.4498994715
331	0.4496670193
332	0.4494668799
333	0.4492647059
334	0.449040272
335	0.4489418179
336	0.4486257516
337	0.4484134051
338	0.448203492
339	0.4480770335
340	0.4479339799
341	0.4477418987
342	0.4475448309
343	0.4473619648
344	0.4472011192
345	0.4469866185
346	0.4467978085
347	0.4466505263
348	0.4465265012
349	0.4463541667
350	0.4461228315
351	0.4458691167
352	0.4456230213
353	0.4455138761
354	0.4453554241
355	0.4452189925
356	0.4450596629
357	0.4448767569
358	0.4447566014
359	0.4445199206
360	0.444292056
361	0.4439917471
362	0.4437937618
363	0.4435812557
364	0.4434520447
365	0.4432628756
366	0.4430712731
367	0.4428805482
368	0.4426005046
369	0.4423845279
370	0.4421314913
371	0.4418935738
372	0.4416456833
373	0.4414452646
374	0.4412758023
375	0.4410836812
376	0.4409354416
377	0.4406914605
378	0.4404947917
379	0.4403491051
380	0.4400982227
381	0.4398640552
382	0.4396464828
383	0.4394370085
384	0.4393159754
385	0.439115078
386	0.4389979144
387	0.438872573
388	0.4386055741
389	0.4383761537
390	0.4381185295
391	0.4379892786
392	0.4378379672
393	0.4376975066
394	0.4375056248
395	0.4372364717
396	0.4369680766
397	0.436780224
398	0.4365824382
399	0.4363700518
400	0.4361731835
401	0.4359009188
402	0.4357038909
403	0.4354995229
404	0.4353749394
405	0.4351919137
406	0.4350316266
407	0.434842657
408	0.4346220528
409	0.4344108631
410	0.4342219334
411	0.4340425379
412	0.4338220933
413	0.433605239
414	0.4334646586
415	0.4333172568
416	0.4332110636
417	0.4330867992
418	0.4328364354
419	0.4326968124
420	0.4324908088
421	0.4322581173
422	0.4320138969
423	0.4317451826
424	0.4315420113
425	0.4313349306
426	0.4311187545
427	0.4308951982
428	0.4306261649
429	0.4305129107
430	0.4303148457
431	0.4301348119
